pl_name,hostname,discoverymethod,disc_facility,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_insol,st_mass,st_teff,st_rad,st_met,sy_dist
HAT-P-1 b,HAT-P-1,Transit,HATNet,14.784671,0.212971,-0.212971,4.46529976,259.687,1.151,5980.0,1.174,0.13,158.979
HAT-P-26 b,HAT-P-26,Transit,HATNet,7.06167,0.44836,-0.44836,4.23452,185.0743,1.12,5079.0,0.87,-0.04,141.837
55 Cnc e,55 Cnc,Radial Velocity,McDonald Observatory,1.875,0.029,-0.029,0.7365474,2657.8322,0.905,5172.0,0.943,0.35,12.5855
GJ 1214 b,GJ 1214,Transit,MEarth Project,2.733,0.033,-0.031,1.580404531,17.2,0.182,3101.0,0.2162,0.24,14.6427
GJ 436 b,GJ 436,Radial Velocity,W. M. Keck Observatory,4.17,0.168,-0.168,2.64388312,29.4322,0.47,3586.11,0.455,0.0991,9.75321
HAT-P-12 b,HAT-P-12,Transit,HATNet,10.749,0.325,-0.235,3.2130598,118.075,0.733,4650.0,0.701,-0.29,142.751
HAT-P-13 b,HAT-P-13,Transit,HATNet,14.258,0.729,-0.729,2.91625,1978.5245,1.32,5653.0,1.756,0.46,246.81
HAT-P-14 b,HAT-P-14,Transit,HATNet,15.91678,1.34508,-1.34508,4.62767,1038.78,2.65,6600.0,1.82,0.11,222.663
HAT-P-17 b,HAT-P-17,Transit,HATNet,11.76945,0.44836,-0.44836,10.33852,110.512,0.99,5246.0,0.87,0.0,92.3831
HAT-P-30 b,HAT-P-30,Transit,HATNet,16.14096,1.68135,-1.68135,2.8106,1467.9573,1.55,6304.0,1.31,0.13,213.985
HAT-P-32 b,HAT-P-32,Transit,HATNet,22.19382,0.504405,-0.504405,2.1500082,1841.0,1.132,6001.0,1.367,-0.16,289.205
HD 149026 b,HD 149026,Radial Velocity,Subaru Telescope,8.29466,0.22418,-0.22418,2.87589,1095.91,1.42,6179.0,1.41,0.32,75.8643
HD 189733 b,HD 189733,Radial Velocity,Haute-Provence Observatory,12.66617,0.11209,-0.11209,2.21857567,356.0,0.79,5052.0,0.75,-0.02,19.7638
HD 209458 b,HD 209458,Radial Velocity,W. M. Keck Observatory,15.58051,0.22418,-0.22418,3.52474859,587.098,1.23,6091.0,1.19,0.01,48.3016
HD 80606 b,HD 80606,Radial Velocity,Multiple Observatories,11.56766808,0.16813471,-0.16813471,111.436765,4.6941,1.05,5565.0,1.05,0.35,66.4711
TrES-4 b,TrES-4,Transit,TrES,18.04649,2.01762,-2.01762,3.55395,2276.295,1.08,6200.0,1.66,0.14,515.98
WASP-12 b,WASP-12,Transit,SuperWASP,22.02564708,0.9863903,-0.97518132,1.091418901,8220.584,1.325,6265.0,1.69,0.12,427.246
WASP-15 b,WASP-15,Transit,SuperWASP,15.80469,4.03524,-4.03524,3.7521,1237.7366,1.18,6300.0,1.48,-0.17,282.091
WASP-17 b,WASP-17,Transit,SuperWASP,20.96083,2.69016,-2.69016,3.73543,1292.19,2.28,6550.0,1.49,-0.25,405.908
WASP-19 b,WASP-19,Transit,SuperWASP,15.86070769,0.49319515,-0.53803107,0.78883852,3320.0,0.965,5616.0,1.006,0.04,268.325
WASP-25 b,WASP-25,Transit,SuperWASP,13.80946422,0.15692573,-0.19055267,3.7648337,341.0,0.962,5697.0,0.884,-0.2,211.416
WASP-39 b,WASP-39,Transit,SuperWASP,14.336311,0.44836,-0.44836,4.0552941,316.269,0.913,5485.0,0.939,0.01,213.982
WASP-43 b,WASP-43,Transit,SuperWASP,10.424,0.785,-1.009,0.813475,680.8953,0.58,4400.0,0.6,-0.05,86.7467
WASP-6 b,WASP-6,Transit,SuperWASP,12.5428494,0.19055267,-0.20176165,3.3610026,288.0,0.854,5438.0,0.79,-0.15,197.119
GJ 3470 b,GJ 3470,Radial Velocity,La Silla Observatory,4.57,0.18,-0.18,3.3366496,29.6584,0.539,3600.0,0.547,0.2,29.4214
